fundRUN,fundName,fundSeries,aafmCategory,svsCategory,svsCategoryId,currency,fundRUNSeries,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21
8812-9,A. CHILE CALIFICADO,A,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9A,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
8812-9,A. CHILE CALIFICADO,B,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9B,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
8812-9,A. CHILE CALIFICADO,C,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9C,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
8812-9,A. CHILE CALIFICADO,D,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9D,767.054,788.5753,785.9268,797.9719,792.995,763.2672,762.9602,768.3307,742.1139,761.7521,721.2878,725.4758,735.8724,740.6035,764.0281,760.5792,750.2821,756.1917,777.3642,767.8636,750.9376,788.9063,774.7692,755.6608,755.8846,782.803,859.7969,859.495,863.2759,844.7616,916.1748,946.6293,996.0028,1033.5307,905.9108,1026.7709,1096.6479,1042.7025,1007.9533,1044.7373,1004.0552,965.2448,961.6579,952.3313,973.6468,944.855,943.5518,938.1038,989.1107,968.6338,959.7522,934.401,907.6972,925.0694,917.9528,866.6988,927.3057,859.7682,780.1463,826.7511,791.8526,705.2972,623.9727,706.7567,665.9628,712.7872,727.2119,690.8105,659.9857,636.7984,728.842,764.2218,769.6162
8812-9,A. CHILE CALIFICADO,E,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9E,746.0934,766.556,759.5778,767.0487,751.5278,720.0467,719.233,723.5633,698.3217,715.6479,674.7403,677.6894,684.4763,688.4941,706.3088,699.8816,675.7656,680.6966,699.3394,689.174,673.5237,705.882,691.8629,673.7263,671.1237,694.6505,760.5954,757.1711,749.6058,732.121,793.5401,819.4075,860.1302,891.1524,780.1459,882.55,941.1877,894.4092,863.0787,891.6511,845.3247,810.8673,807.374,798.6567,814.279,788.6749,786.1547,779.2272,819.4187,802.024,792.2235,767.8442,734.3576,747.1176,740.9294,698.8445,746.4962,691.2948,620.9372,657.4929,628.7366,559.7005,492.001,552.8584,510.9303,546.2861,557.011,528.8156,504.7108,485.7939,552.8705,574.1806,576.4414
8812-9,A. CHILE CALIFICADO,F,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9F,726.3573,746.5076,739.9632,747.4869,732.6107,702.1528,701.5976,706.0615,681.6544,698.8056,659.0773,662.1179,669.013,673.4233,691.2383,685.1735,661.7892,666.8373,685.3333,675.601,660.476,692.9471,679.4466,661.8602,659.5275,682.8572,747.9367,744.8141,737.6228,720.6544,781.3769,807.1219,847.5127,878.3782,769.2157,870.4808,928.6319,882.7483,852.1157,880.6147,835.1453,801.3663,798.185,789.8351,805.5497,780.4851,778.247,771.6512,811.7276,794.74,785.2953,761.3795,728.4222,741.3227,735.4323,693.8953,741.4533,686.858,617.155,653.71,625.3309,556.8452,489.6569,550.4048,508.8351,544.2244,555.0967,527.1768,503.3117,484.6114,551.7055,573.1648,575.6172
8812-9,A. CHILE CALIFICADO,H,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9H,907.8406,907.8406,907.8406,907.8406,907.8406,907.8406,907.8406,916.3726,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,1001.2792,1069.6051,1017.1449,983.4145,1019.4708,979.9389,942.2156,938.8738,929.9259,950.8964,922.9342,921.813,916.6462,966.6505,946.7841,938.2622,913.6289,887.6695,904.8071,897.999,848.0032,907.4518,841.5032,763.6983,809.458,775.4207,690.7711,611.2249,692.4311,652.5746,698.5723,712.8311,677.2601,647.1431,624.5137,714.8987,749.7286,755.1522
8289-9,ACCIONES CHILE,APV,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8289-9APV,857.0135,882.9958,873.074,882.3608,874.7575,840.6924,842.7679,836.5344,806.3691,832.6931,788.6566,791.5652,796.4316,801.4027,826.7866,832.8025,811.2506,814.7161,836.2633,822.0119,799.3763,849.0878,818.2396,801.2837,806.3552,838.3495,919.9175,913.0418,908.3602,883.0336,940.7641,954.7496,998.9723,1044.3142,916.5218,1019.8308,1071.4882,1017.9975,997.7357,1040.773,989.6888,955.7329,975.5503,956.9736,970.4535,937.202,929.5201,923.983,971.9612,948.6554,937.839,919.5199,866.5616,887.2735,871.5062,839.1044,898.3246,842.888,797.2637,826.4929,805.0412,730.351,604.2426,686.6956,629.7418,675.7632,688.7364,652.1686,629.9546,607.5724,684.7373,710.2978,725.583
8289-9,ACCIONES CHILE,E,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8289-9E,1527.8614,1573.7171,1555.5253,1571.5737,1557.5219,1496.3948,1499.5985,1488.0202,1433.9087,1480.2345,1401.5096,1406.2186,1414.4013,1422.7942,1467.3804,1477.5897,1438.8808,1444.5701,1482.2906,1456.5533,1415.9963,1503.5624,1448.478,1417.9981,1426.5063,1482.6687,1626.3945,1613.7278,1604.9286,1559.6868,1661.1119,1685.255,1762.7559,1842.1622,1616.2259,1797.8166,1888.2636,1793.4681,1757.1969,1832.4137,1741.9038,1681.6076,1715.9149,1682.6895,1705.8519,1646.8642,1632.8488,1622.5912,1706.287,1664.8816,1645.3609,1612.7112,1519.3326,1555.1543,1527.019,1469.7652,1572.9967,1475.4428,1395.1326,1445.8017,1407.8109,1276.8025,1055.9908,1199.7044,1099.8393,1179.8378,1202.0915,1137.8913,1098.7815,1059.3917,1193.5579,1237.7031,1263.9187
8289-9,ACCIONES CHILE,GLOBA,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8289-9GLOBA,833.0841,858.1434,848.2846,857.0961,849.4936,816.2108,818.0173,811.7604,782.2959,807.6286,764.7289,767.3541,771.8747,776.5073,800.8985,806.5277,785.4553,788.6156,809.2661,795.2719,773.182,821.0546,791.0296,774.4405,779.1441,809.8647,888.4647,882.5753,879.3135,855.9834,913.3323,928.0232,972.126,1017.4584,893.9805,994.4955,1044.6035,992.2267,972.2301,1013.9174,963.9059,930.6052,949.6597,931.3388,944.2247,911.6398,903.9446,898.3311,944.7367,921.8716,911.1286,893.1112,841.4595,861.3591,845.8369,814.182,871.4285,817.4435,773.0059,801.1421,780.1501,707.601,585.2718,664.9723,609.6654,654.0583,666.4453,630.9,609.2605,587.4643,661.912,686.4456,701.0387
