fundRUN,fundName,fundSeries,aafmCategory,svsCategory,svsCategoryId,currency,fundRUNSeries,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21
8812-9,A. CHILE CALIFICADO,A,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9A,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
8812-9,A. CHILE CALIFICADO,AC,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9AC,,,,,,,,,,1005.6,950.6,957.6,970.2,978.6,1006,999.4,967.8304,977.2344,1006.8179,994.6763,974.7321,1023.1065,1002.9183,976.8285,973.4121,1007.5414,1103.3569,1098.7755,1088.0786,1062.9852,1152.5337,1190.2743,1249.6781,1295.2205,1134.194,1283.355,1368.7284,1300.7055,1255.5098,1297.4594,1230.3073,1180.3887,1175.5826,1163.0792,1186.026,1148.9822,1145.5217,1135.6227,1194.4242,1169.2806,1155.1913,1119.7336,1071.1604,1089.9514,1081.175,1020.1355,1089.8468,1009.4906,931.8417,986.9055,943.9592,840.4803,738.8865,830.3527,767.4051,820.6198,836.8227,794.7268,758.6292,730.2904,831.3485,863.5786,867.1403
8812-9,A. CHILE CALIFICADO,AC-APV,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9AC-APV,,,,,,,,,,1005.6,950.6,958.4,974.2,982.4,1015.6,1013.4,1002.6,1012.2,1042.4,1031.8,1011.4,1063.7179,1044.7983,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819,1039.3819
8812-9,A. CHILE CALIFICADO,B,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9B,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
8812-9,A. CHILE CALIFICADO,C,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9C,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
8812-9,A. CHILE CALIFICADO,D,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9D,767.054,788.5753,785.9268,797.9719,792.995,763.2672,762.9602,768.3307,742.1139,761.7521,721.2878,725.4758,735.8724,740.6035,764.0281,760.5792,750.2821,756.1917,777.3642,767.8636,750.9376,788.9063,774.7692,755.6608,755.8846,782.803,859.7969,859.495,863.2759,844.7616,916.1748,946.6293,996.0028,1033.5307,905.9108,1026.7709,1096.6479,1042.7025,1007.9533,1044.7373,1004.0552,965.2448,961.6579,952.3313,973.6468,944.855,943.5518,938.1038,989.1107,968.6338,959.7522,934.401,907.6972,925.0694,917.9528,866.6988,927.3057,859.7682,780.1463,826.7511,791.8526,705.2972,623.9727,706.7567,665.9628,712.7872,727.2119,690.8105,659.9857,636.7984,728.842,764.2218,769.6162
8812-9,A. CHILE CALIFICADO,E,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9E,746.0934,766.556,759.5778,767.0487,751.5278,720.0467,719.233,723.5633,698.3217,715.6479,674.7403,677.6894,684.4763,688.4941,706.3088,699.8816,675.7656,680.6966,699.3394,689.174,673.5237,705.882,691.8629,673.7263,671.1237,694.6505,760.5954,757.1711,749.6058,732.121,793.5401,819.4075,860.1302,891.1524,780.1459,882.55,941.1877,894.4092,863.0787,891.6511,845.3247,810.8673,807.374,798.6567,814.279,788.6749,786.1547,779.2272,819.4187,802.024,792.2235,767.8442,734.3576,747.1176,740.9294,698.8445,746.4962,691.2948,620.9372,657.4929,628.7366,559.7005,492.001,552.8584,510.9303,546.2861,557.011,528.8156,504.7108,485.7939,552.8705,574.1806,576.4414
8812-9,A. CHILE CALIFICADO,F,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9F,726.3573,746.5076,739.9632,747.4869,732.6107,702.1528,701.5976,706.0615,681.6544,698.8056,659.0773,662.1179,669.013,673.4233,691.2383,685.1735,661.7892,666.8373,685.3333,675.601,660.476,692.9471,679.4466,661.8602,659.5275,682.8572,747.9367,744.8141,737.6228,720.6544,781.3769,807.1219,847.5127,878.3782,769.2157,870.4808,928.6319,882.7483,852.1157,880.6147,835.1453,801.3663,798.185,789.8351,805.5497,780.4851,778.247,771.6512,811.7276,794.74,785.2953,761.3795,728.4222,741.3227,735.4323,693.8953,741.4533,686.858,617.155,653.71,625.3309,556.8452,489.6569,550.4048,508.8351,544.2244,555.0967,527.1768,503.3117,484.6114,551.7055,573.1648,575.6172
8812-9,A. CHILE CALIFICADO,G,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9G,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,997.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8812-9,A. CHILE CALIFICADO,H,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9H,907.8406,907.8406,907.8406,907.8406,907.8406,907.8406,907.8406,916.3726,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,906.5356,1001.2792,1069.6051,1017.1449,983.4145,1019.4708,979.9389,942.2156,938.8738,929.9259,950.8964,922.9342,921.813,916.6462,966.6505,946.7841,938.2622,913.6289,887.6695,904.8071,897.999,848.0032,907.4518,841.5032,763.6983,809.458,775.4207,690.7711,611.2249,692.4311,652.5746,698.5723,712.8311,677.2601,647.1431,624.5137,714.8987,749.7286,755.1522
8812-9,A. CHILE CALIFICADO,I,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9I,,,,,,,,,,1005,950,956.9856,969.0516,977.2117,1004.833,998.4812,966.9884,976.4479,1005.5985,993.6355,973.7907,1023.101,1005.0338,981.4232,979.9307,1016.4725,1115.5637,1113.0977,1105.1834,1081.8139,1175.5026,1216.4563,1280.5481,1331.1434,1168.3131,1324.2468,1415.6839,1348.5361,1304.2671,1350.6951,1284.5749,1236.5297,1234.8858,1225.4025,1252.9142,1216.8456,1217.0485,1210.0121,1276.6804,1252.9846,1240.8548,1206.0256,1157.1456,1180.2017,1173.7007,1110.4045,1188.9539,1103.9514,993.7209,1054.5289,1010.9002,901.9247,794.6493,895.7571,829.4639,888.5729,907.9628,864.0124,826.5253,797.2053,909.1026,946.5874,952.4474
8812-9,A. CHILE CALIFICADO,M,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9M,,,,,,,,,,,,,,,,,,,,1001.3986,981.2188,1030.5912,1010.8275,985.7047,983.4272,1019.2487,1117.6273,1113.8269,1103.8846,1079.4005,1171.3138,1210.8189,1272.3706,1319.8865,1156.8129,1310.0733,1398.8717,1330.7769,1285.6782,1329.7645,1262.3024,1212.1639,1208.3563,1196.6629,1221.3632,1184.3243,1181.8362,1172.7772,1234.6683,1209.6922,1196.2535,1160.6286,1111.2971,1131.8416,1123.862,1061.2666,1134.7106,1052.0366,946.1572,1003.175,960.4507,856.2261,753.669,848.0312,784.7415,840.1813,857.8865,815.7317,779.7044,751.5791,856.599,890.9921,895.6921
8162-0,AC EMERGENTES,A,Accionario Emergente,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8162-0A,898.542,890.6828,903.2852,926.1299,921.3001,917.9266,919.2881,866.7555,850.5335,894.4375,892.5287,879.0351,807.387,781.9675,818.7529,798.272,828.089,807.9919,842.1426,881.1856,865.5045,838.5494,830.101,803.7904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8162-0,AC EMERGENTES,APV,Accionario Emergente,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8162-0APV,1381.9618,1373.0289,1396.0064,1434.8439,1431.0005,1429.2786,1435.0483,1356.4926,1334.3891,1406.8474,1407.3089,1389.5667,1279.5606,1242.2311,1303.9846,1274.5027,1325.479,1296.5016,1354.7452,1421.1676,1399.3215,1359.1981,1348.8241,1309.4023,1342.7691,1388.9045,1468.5535,1503.6428,1549.9213,1541.7317,1590.5049,1566.3686,1583.7669,1628.0382,1648.2237,1601.518,1695.7185,1572.0878,1602.45,1580.5107,1588.9759,1558.9136,1574.0267,1617.5677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8162-0,AC EMERGENTES,B,Accionario Emergente,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8162-0B,1486.2446,1474.0523,1495.8157,1534.5464,1527.4697,1522.7701,1525.9539,1439.6264,1413.5121,1487.3785,1485.0756,1463.511,1345.0391,1303.4317,1365.5758,1332.1979,1382.7965,1350.0292,1407.9433,1474.1115,1448.729,1404.4617,1391.128,1347.8524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8162-0,AC EMERGENTES,C,Accionario Emergente,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8162-0C,1465.3679,1454.0105,1476.2239,1515.1882,1508.9632,1505.0565,1508.9657,1424.3189,1399.1664,1473.0274,1471.4662,1450.8323,1334.0608,1293.4043,1355.7554,1323.2646,1374.2183,1342.3106,1400.6013,1467.1658,1442.6083,1399.235,1386.6289,1344.1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8162-0,AC EMERGENTES,D,Accionario Emergente,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8162-0D,,,,,,,1014.3141,957.996,941.6309,991.9403,991.4708,978.1606,899.9782,873.0458,915.6879,894.2681,929.2663,908.2228,948.2378,993.906,977.8436,949.0192,941.0214,912.7622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8162-0,AC EMERGENTES,F1,Accionario Emergente,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8162-0F1,,,,,,,,,,,,,,,,,,,,,,,,,822.1766,848.4714,894.8469,913.973,939.7069,932.4409,959.4925,942.5288,950.6522,974.7406,984.3972,954.0697,1007.6186,932.009,947.5931,932.3191,934.931,914.9914,921.5183,944.6075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8162-0,AC EMERGENTES,F2,Accionario Emergente,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8162-0F2,,,,,,,,,,,,,,,,,,,,,,,,,1379.5201,1424.42,1503.1868,1536.2167,1580.4288,1569.1293,1615.6319,1588.0305,1602.6577,1644.264,1661.5284,1611.3167,1702.7873,1575.8775,1603.1996,1578.2843,1583.6639,1550.793,1562.7976,1602.9208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
