aafmCategory,Accionario America Latina,Accionario Asia Emergente,Accionario Asia Pacifico,Accionario Brasil,Accionario Desarrollado,Accionario EEUU,Accionario Emergente,Accionario Europa Desarrollado,Accionario Europa Emergente,Accionario Nacional Large CAP,Accionario Nacional Otros,Accionario Pais,Accionario Países MILA,Accionario Sectorial,Balanceado Agresivo,Balanceado Conservador,Balanceado Moderado,Fondos de Deuda < 365 Dias Internacional,Fondos de Deuda < 365 Dias Nacional en UF,Fondos de Deuda < 365 Dias Nacional en pesos,"Fondos de Deuda < 90 Dias Internacional, Dolar",Fondos de Deuda < 90 Dias Nacional,"Fondos de Deuda > 365 Dias Internacional, Mercados Emergentes","Fondos de Deuda > 365 Dias Internacional, Mercados Internacionales","Fondos de Deuda > 365 Dias Nacional, Inversion UF > 3 años y =<5","Fondos de Deuda > 365 Dias Nacional, Inversion en UF > 5 años","Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos","Fondos de Deuda > 365 Dias Nacional, Inversión en UF < 3 años",Fondos de Deuda > 365 Dias Orig. Flex,Inversionistas Calificados Accionario Nacional,Inversionistas Calificados Títulos de Deuda
Accionario America Latina,1.0,0.3680651752210225,0.3124727422173956,0.9380671029304875,0.3905176445445198,0.3487619847074999,0.654603554257552,0.5087877671811334,0.7591449207788751,0.6590088069072928,0.5104399407259351,0.5693093446552508,0.8430956027012441,0.7017735199274392,0.6122347354004639,0.5823728810719062,0.6357873317005158,0.060695086321193685,-0.0469588291836721,0.29115461582194674,-0.0173922654064,0.05652502565249375,0.8078461709701938,0.4060887369218242,0.29176967070399795,0.29306900327891205,0.3276691281492784,0.2293030257645306,0.37748069199151074,0.617614003342475,0.7151888440801055
Accionario Asia Emergente,0.3680651752210225,1.0,0.31834029342842424,0.2576271990252527,0.7819557061483661,0.6930760316285386,0.9336324778219833,0.7244592716601825,0.5341308343910007,0.33108530849533285,0.26722619019539956,0.8419656833402901,0.5632719577396387,0.5535713940691894,0.8223628050317876,0.4504707282684686,0.7100337699451864,0.0797829699836917,-0.15319474913911346,0.0906624986203528,-0.0485465176057809,0.06717768536536507,0.4478376670466998,0.568723723663267,0.010767273665930369,-0.010411307423574113,0.03881711652534743,0.016774554246063972,0.08257929115310661,0.3003879925348482,0.3387685269370985
Accionario Asia Pacifico,0.3124727422173956,0.31834029342842424,1.0,0.24874499267924857,0.4565106484961911,0.4520313782782357,0.3842322823487863,0.41285662951959806,0.43009416311807996,0.31217460437013844,0.2646442962035987,0.42213079087345795,0.34971031248642115,0.35419236156967915,0.5222914683464744,0.43798931850463263,0.6409457021921394,0.018011434933487478,0.0626174216746238,0.9208263889395712,-0.10645535491003286,0.0865242396596315,0.2048520753437508,0.19071013332275144,0.5095907101649673,0.25798434127765013,0.2352269739524309,0.27506247000737244,0.30007307694486146,0.29423401795048304,0.25585513633103796
Accionario Brasil,0.9380671029304875,0.2576271990252527,0.24874499267924857,1.0,0.26953045833326505,0.24362777951530462,0.539406500798462,0.34373202856753104,0.671020231929394,0.5226466560452732,0.3959995181809746,0.4193263422221043,0.6779648392054699,0.5702411696068205,0.471887618854684,0.45830533695729275,0.49929656863737193,0.028399850573601663,-0.1156271081140405,0.24520820316204103,0.056885941719864816,0.05927678584600245,0.7383776748372314,0.3594202971199623,0.2265521746413341,0.23623242418081633,0.2942750384351085,0.15978902778067788,0.2992581428126184,0.4860860840513935,0.6156415493790657
Accionario Desarrollado,0.3905176445445198,0.7819557061483661,0.4565106484961911,0.26953045833326505,1.0,0.9473346700741863,0.7685354409635088,0.9188703756169222,0.7096834971655411,0.2678125182806886,0.20726698951077133,0.8416206649133237,0.6115396411184951,0.5575227422170355,0.9302651130880857,0.6023482739391667,0.8529554446659272,0.035472028204355154,0.06931149794151632,0.26278776355493444,0.03791504636898788,0.22176231951215492,0.44830970744963944,0.7546643110973915,0.1707795371653477,0.11955620402558328,0.09822828363676657,0.18078431569153025,0.19119507324715618,0.24592848545494053,0.3935772272090442
Accionario EEUU,0.3487619847074999,0.6930760316285386,0.4520313782782357,0.24362777951530462,0.9473346700741863,1.0,0.6893523391463288,0.8362785308363679,0.6501168963288189,0.235386062898128,0.19359731296322816,0.7492222893050927,0.5162197673928358,0.5361663892360459,0.8656218950239812,0.5894616661664287,0.803641643217805,0.0315851686596983,0.16365494431323502,0.29251590399687216,0.057449717832175264,0.14922784440634573,0.3906670904461207,0.6806117940638126,0.2211946671712393,0.1672325212107412,0.1606976704472004,0.24520785346789328,0.22815806900294375,0.22390790880962508,0.4042770524315086
Accionario Emergente,0.654603554257552,0.9336324778219833,0.3842322823487863,0.539406500798462,0.7685354409635088,0.6893523391463288,1.0,0.7662791719461809,0.7203427471073094,0.5184640546154892,0.417414177741461,0.8718293436908274,0.7459363619314064,0.7176283683333534,0.8872154856847076,0.5949751337481919,0.8119651178000591,0.07479371021945311,-0.1043941964218901,0.2002530988119069,-0.04516657483823541,0.0659947771175696,0.6625883203885896,0.5763859252295679,0.14912568364518988,0.12711534076659506,0.1830835411240557,0.13670274621899753,0.2336904356118112,0.48116892059987737,0.5381955384262893
Accionario Europa Desarrollado,0.5087877671811334,0.7244592716601825,0.41285662951959806,0.34373202856753104,0.9188703756169222,0.8362785308363679,0.7662791719461809,1.0,0.7590175431938145,0.38164211102497786,0.3127361612677533,0.8619531280069226,0.7271910516196776,0.6120551090584696,0.9145342195278887,0.6384196219654119,0.8484760932522438,0.019610291966294425,0.07448185618180736,0.2415837776407307,-0.015492950803938785,0.2646142640514815,0.5439443480909002,0.6975537747831453,0.1916945588095332,0.15930108443096172,0.13460545575856778,0.18786116374765185,0.23464928853549202,0.36005793767178706,0.4800854135604092
Accionario Europa Emergente,0.7591449207788751,0.5341308343910007,0.43009416311807996,0.671020231929394,0.7096834971655411,0.6501168963288189,0.7203427471073094,0.7590175431938145,1.0,0.508886865903173,0.4088044765074617,0.7270146690407007,0.7655833393028361,0.6615224652473495,0.7969123728003482,0.6610019392774786,0.7941502997543334,-0.014631551076309967,0.09136834528763473,0.37828384326927356,0.03597886120810417,0.17945292091741233,0.6775164282600352,0.5850891502242066,0.3291440397756527,0.2841590954783956,0.32516961836671776,0.3141895455616261,0.3790049178048172,0.48733343098181525,0.5824623091147018
Accionario Nacional Large CAP,0.6590088069072928,0.33108530849533285,0.31217460437013844,0.5226466560452732,0.2678125182806886,0.235386062898128,0.5184640546154892,0.38164211102497786,0.508886865903173,1.0,0.9019152936315661,0.41170175791478764,0.6872705599757124,0.7105742582867687,0.5518903188422087,0.6082311020079367,0.6094985918877531,0.17214046329809377,-0.026143570484471038,0.3183713690335948,-0.19034573267686145,0.1414805894631005,0.48822798281591256,0.13958564072347943,0.3460123071238277,0.3195238113011903,0.4035811789325775,0.2798919733005569,0.4120834805161619,0.9867319795170508,0.5032041340193908
Accionario Nacional Otros,0.5104399407259351,0.26722619019539956,0.2646442962035987,0.3959995181809746,0.20726698951077133,0.19359731296322816,0.417414177741461,0.3127361612677533,0.4088044765074617,0.9019152936315661,1.0,0.31381888399889146,0.5669462311370609,0.6478209974877943,0.47044009034928586,0.615770034848098,0.5507811729707358,0.1530207947025883,0.07248831484857948,0.31447183577694693,-0.18783931991956712,0.1627826508736816,0.43136776100573954,0.07910127244438378,0.4259224751505865,0.42227217060768,0.4712400638346319,0.36557491657087754,0.48052604793293036,0.9399745147197426,0.44600987776355516
Accionario Pais,0.5693093446552508,0.8419656833402901,0.42213079087345795,0.4193263422221043,0.8416206649133237,0.7492222893050927,0.8718293436908274,0.8619531280069226,0.7270146690407007,0.41170175791478764,0.31381888399889146,1.0,0.7459472508477604,0.6413849837419286,0.9049351218675741,0.572299593928385,0.8176005969018825,0.08915985458613233,-0.09459144820449243,0.22246474045376619,-0.03322863761281907,0.1708152670067829,0.6098350340453659,0.6332649174805282,0.1197011831136772,0.09278193887086404,0.09096400811352455,0.09423277177055384,0.16504663019340646,0.3740443373254662,0.5036537474863056
Accionario Países MILA,0.8430956027012441,0.5632719577396387,0.34971031248642115,0.6779648392054699,0.6115396411184951,0.5162197673928358,0.7459363619314064,0.7271910516196776,0.7655833393028361,0.6872705599757124,0.5669462311370609,0.7459472508477604,1.0,0.7501213987499897,0.7812692787202153,0.6699183281854741,0.776893619739348,0.1443493157279482,0.015855855898100568,0.2818153616233325,-0.0149397211623276,0.15564143771321787,0.7537537350291149,0.5479033742213183,0.28161962945236746,0.273755778142288,0.30248784539787277,0.2422733234083751,0.3726944814373445,0.6527367450848767,0.6433127161129131
Accionario Sectorial,0.7017735199274392,0.5535713940691894,0.35419236156967915,0.5702411696068205,0.5575227422170355,0.5361663892360459,0.7176283683333534,0.6120551090584696,0.6615224652473495,0.7105742582867687,0.6478209974877943,0.6413849837419286,0.7501213987499897,1.0,0.7362909598399213,0.6714531132501596,0.7404524342158157,0.06453449916951239,0.08262465826722754,0.2988905118519113,-0.19422605624259295,0.08339818681621815,0.6725824491187515,0.39034949390553647,0.3525816491450869,0.33473199059115233,0.34871891377688363,0.32375951238881745,0.43125054919968214,0.705403681933876,0.6496155472686093
Balanceado Agresivo,0.6122347354004639,0.8223628050317876,0.5222914683464744,0.471887618854684,0.9302651130880857,0.8656218950239812,0.8872154856847076,0.9145342195278887,0.7969123728003482,0.5518903188422087,0.47044009034928586,0.9049351218675741,0.7812692787202153,0.7362909598399213,1.0,0.7454202336292349,0.9586414474008066,0.07845782962733991,0.039257584142624015,0.35649334359805235,-0.035510602341955806,0.2265457072566743,0.6182510315091366,0.707884721885921,0.29154799409561405,0.23932135642850427,0.24399037297041185,0.26477621399185675,0.33082537393922756,0.5264569364508653,0.5589114312039538
Balanceado Conservador,0.5823728810719062,0.4504707282684686,0.43798931850463263,0.45830533695729275,0.6023482739391667,0.5894616661664287,0.5949751337481919,0.6384196219654119,0.6610019392774786,0.6082311020079367,0.615770034848098,0.572299593928385,0.6699183281854741,0.6714531132501596,0.7454202336292349,1.0,0.8688354836135211,0.06182866471630771,0.45247145983776976,0.4736544904129552,-0.0031214933018636724,0.1918648725093259,0.6808200141587943,0.5715883653296452,0.7868823384902396,0.8039943805460673,0.7706641303390213,0.7839371753608485,0.8380402616136219,0.6276149309962703,0.7074336944525601
Balanceado Moderado,0.6357873317005158,0.7100337699451864,0.6409457021921394,0.49929656863737193,0.8529554446659272,0.803641643217805,0.8119651178000591,0.8484760932522438,0.7941502997543334,0.6094985918877531,0.5507811729707358,0.8176005969018825,0.776893619739348,0.7404524342158157,0.9586414474008066,0.8688354836135211,1.0,0.09142258989469561,0.18852210656373938,0.5438254032508011,-0.03991111624977034,0.21719680324750248,0.6437580594326885,0.6829744504873319,0.5265043952888996,0.4526039070836643,0.4424205196086007,0.4689314938194813,0.5334037719948874,0.5952060274515183,0.6254403451156569
Fondos de Deuda < 365 Dias Internacional,0.060695086321193685,0.0797829699836917,0.018011434933487478,0.028399850573601663,0.035472028204355154,0.0315851686596983,0.07479371021945311,0.019610291966294425,-0.014631551076309967,0.17214046329809377,0.1530207947025883,0.08915985458613233,0.1443493157279482,0.06453449916951239,0.07845782962733991,0.06182866471630771,0.09142258989469561,1.0,0.01125056599834876,0.0017424617752864171,-0.02330413222120444,0.10881359831301253,0.00933022082611554,0.02985297924928575,-0.007837615424904052,-0.01308757059441413,-0.03635432979810384,-0.006359508729148189,-0.011802761097041668,0.16861024040388917,-0.0031735088892528933
Fondos de Deuda < 365 Dias Nacional en UF,-0.0469588291836721,-0.15319474913911346,0.0626174216746238,-0.1156271081140405,0.06931149794151632,0.16365494431323502,-0.1043941964218901,0.07448185618180736,0.09136834528763473,-0.026143570484471038,0.07248831484857948,-0.09459144820449243,0.015855855898100568,0.08262465826722754,0.039257584142624015,0.45247145983776976,0.18852210656373938,0.01125056599834876,1.0,0.29701221348518864,-0.06192637243861684,0.0349189640861828,0.06305192382684463,0.08372227929855494,0.6802078963779138,0.6477901460099981,0.572492319049013,0.8155598509746878,0.6793171952014653,0.026073540292751423,0.1081128073152524
Fondos de Deuda < 365 Dias Nacional en pesos,0.29115461582194674,0.0906624986203528,0.9208263889395712,0.24520820316204103,0.26278776355493444,0.29251590399687216,0.2002530988119069,0.2415837776407307,0.37828384326927356,0.3183713690335948,0.31447183577694693,0.22246474045376619,0.2818153616233325,0.2988905118519113,0.35649334359805235,0.4736544904129552,0.5438254032508011,0.0017424617752864171,0.29701221348518864,1.0,-0.10005273196023812,0.07871019531265744,0.15783681506390906,0.059755159334200836,0.6984239551785759,0.449752609834481,0.4380799629899667,0.4852106385136113,0.4908838520461971,0.32264707593125824,0.244851445626862
"Fondos de Deuda < 90 Dias Internacional, Dolar",-0.0173922654064,-0.0485465176057809,-0.10645535491003286,0.056885941719864816,0.03791504636898788,0.057449717832175264,-0.04516657483823541,-0.015492950803938785,0.03597886120810417,-0.19034573267686145,-0.18783931991956712,-0.03322863761281907,-0.0149397211623276,-0.19422605624259295,-0.035510602341955806,-0.0031214933018636724,-0.03991111624977034,-0.02330413222120444,-0.06192637243861684,-0.10005273196023812,1.0,-0.07146670698307758,-0.01307455158458084,0.12723204118356268,-0.05864081631600159,0.008762089352635831,0.030262115204569808,-0.03248634529407991,-0.07611136506350204,-0.17444147469846685,-0.06168804442076146
Fondos de Deuda < 90 Dias Nacional,0.05652502565249375,0.06717768536536507,0.0865242396596315,0.05927678584600245,0.22176231951215492,0.14922784440634573,0.0659947771175696,0.2646142640514815,0.17945292091741233,0.1414805894631005,0.1627826508736816,0.1708152670067829,0.15564143771321787,0.08339818681621815,0.2265457072566743,0.1918648725093259,0.21719680324750248,0.10881359831301253,0.0349189640861828,0.07871019531265744,-0.07146670698307758,1.0,0.11803537789289727,0.18826311809349944,0.05777148629171539,0.048110645297109705,0.08146185549215437,0.00707286150962908,0.09791925486448233,0.13822489498053284,-0.06319058196214311
"Fondos de Deuda > 365 Dias Internacional, Mercados Emergentes",0.8078461709701938,0.4478376670466998,0.2048520753437508,0.7383776748372314,0.44830970744963944,0.3906670904461207,0.6625883203885896,0.5439443480909002,0.6775164282600352,0.48822798281591256,0.43136776100573954,0.6098350340453659,0.7537537350291149,0.6725824491187515,0.6182510315091366,0.6808200141587943,0.6437580594326885,0.00933022082611554,0.06305192382684463,0.15783681506390906,-0.01307455158458084,0.11803537789289727,1.0,0.5960351346658874,0.38540142214651363,0.4676513037070587,0.4635743968958001,0.37807192815767876,0.5196300090034741,0.4707793319656088,0.8324041302988223
"Fondos de Deuda > 365 Dias Internacional, Mercados Internacionales",0.4060887369218242,0.568723723663267,0.19071013332275144,0.3594202971199623,0.7546643110973915,0.6806117940638126,0.5763859252295679,0.6975537747831453,0.5850891502242066,0.13958564072347943,0.07910127244438378,0.6332649174805282,0.5479033742213183,0.39034949390553647,0.707884721885921,0.5715883653296452,0.6829744504873319,0.02985297924928575,0.08372227929855494,0.059755159334200836,0.12723204118356268,0.18826311809349944,0.5960351346658874,1.0,0.17945544694256577,0.23706037699783072,0.20304713372637917,0.22903934602147824,0.28869377788485723,0.10879180423367721,0.5409471783394231
"Fondos de Deuda > 365 Dias Nacional, Inversion UF > 3 años y =<5",0.29176967070399795,0.010767273665930369,0.5095907101649673,0.2265521746413341,0.1707795371653477,0.2211946671712393,0.14912568364518988,0.1916945588095332,0.3291440397756527,0.3460123071238277,0.4259224751505865,0.1197011831136772,0.28161962945236746,0.3525816491450869,0.29154799409561405,0.7868823384902396,0.5265043952888996,-0.007837615424904052,0.6802078963779138,0.6984239551785759,-0.05864081631600159,0.05777148629171539,0.38540142214651363,0.17945544694256577,1.0,0.9411509709067658,0.8807729460267121,0.9419246490693587,0.943288748748788,0.39312953387251715,0.47449911060136335
"Fondos de Deuda > 365 Dias Nacional, Inversion en UF > 5 años",0.29306900327891205,-0.010411307423574113,0.25798434127765013,0.23623242418081633,0.11955620402558328,0.1672325212107412,0.12711534076659506,0.15930108443096172,0.2841590954783956,0.3195238113011903,0.42227217060768,0.09278193887086404,0.273755778142288,0.33473199059115233,0.23932135642850427,0.8039943805460673,0.4526039070836643,-0.01308757059441413,0.6477901460099981,0.449752609834481,0.008762089352635831,0.048110645297109705,0.4676513037070587,0.23706037699783072,0.9411509709067658,1.0,0.9200510166992834,0.9428413797803494,0.953288614348198,0.3773348051542383,0.5527549749743784
"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",0.3276691281492784,0.03881711652534743,0.2352269739524309,0.2942750384351085,0.09822828363676657,0.1606976704472004,0.1830835411240557,0.13460545575856778,0.32516961836671776,0.4035811789325775,0.4712400638346319,0.09096400811352455,0.30248784539787277,0.34871891377688363,0.24399037297041185,0.7706641303390213,0.4424205196086007,-0.03635432979810384,0.572492319049013,0.4380799629899667,0.030262115204569808,0.08146185549215437,0.4635743968958001,0.20304713372637917,0.8807729460267121,0.9200510166992834,1.0,0.8961824081248732,0.9245886025375432,0.45592192445722723,0.5169254115748182
"Fondos de Deuda > 365 Dias Nacional, Inversión en UF < 3 años",0.2293030257645306,0.016774554246063972,0.27506247000737244,0.15978902778067788,0.18078431569153025,0.24520785346789328,0.13670274621899753,0.18786116374765185,0.3141895455616261,0.2798919733005569,0.36557491657087754,0.09423277177055384,0.2422733234083751,0.32375951238881745,0.26477621399185675,0.7839371753608485,0.4689314938194813,-0.006359508729148189,0.8155598509746878,0.4852106385136113,-0.03248634529407991,0.00707286150962908,0.37807192815767876,0.22903934602147824,0.9419246490693587,0.9428413797803494,0.8961824081248732,1.0,0.948700552309026,0.33534630618506295,0.45702186519434307
Fondos de Deuda > 365 Dias Orig. Flex,0.37748069199151074,0.08257929115310661,0.30007307694486146,0.2992581428126184,0.19119507324715618,0.22815806900294375,0.2336904356118112,0.23464928853549202,0.3790049178048172,0.4120834805161619,0.48052604793293036,0.16504663019340646,0.3726944814373445,0.43125054919968214,0.33082537393922756,0.8380402616136219,0.5334037719948874,-0.011802761097041668,0.6793171952014653,0.4908838520461971,-0.07611136506350204,0.09791925486448233,0.5196300090034741,0.28869377788485723,0.943288748748788,0.953288614348198,0.9245886025375432,0.948700552309026,1.0,0.4526834472955866,0.573744373289145
Inversionistas Calificados Accionario Nacional,0.617614003342475,0.3003879925348482,0.29423401795048304,0.4860860840513935,0.24592848545494053,0.22390790880962508,0.48116892059987737,0.36005793767178706,0.48733343098181525,0.9867319795170508,0.9399745147197426,0.3740443373254662,0.6527367450848767,0.705403681933876,0.5264569364508653,0.6276149309962703,0.5952060274515183,0.16861024040388917,0.026073540292751423,0.32264707593125824,-0.17444147469846685,0.13822489498053284,0.4707793319656088,0.10879180423367721,0.39312953387251715,0.3773348051542383,0.45592192445722723,0.33534630618506295,0.4526834472955866,1.0,0.4922703884423087
Inversionistas Calificados Títulos de Deuda,0.7151888440801055,0.3387685269370985,0.25585513633103796,0.6156415493790657,0.3935772272090442,0.4042770524315086,0.5381955384262893,0.4800854135604092,0.5824623091147018,0.5032041340193908,0.44600987776355516,0.5036537474863056,0.6433127161129131,0.6496155472686093,0.5589114312039538,0.7074336944525601,0.6254403451156569,-0.0031735088892528933,0.1081128073152524,0.244851445626862,-0.06168804442076146,-0.06319058196214311,0.8324041302988223,0.5409471783394231,0.47449911060136335,0.5527549749743784,0.5169254115748182,0.45702186519434307,0.573744373289145,0.4922703884423087,1.0
