fundName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28
	EA CONSERVADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43051.059,59624.768599999996,62198.7468,60052.902300000016,62634.64800000001,70946.7254,92055.47639999999,99660.41830000002,120659.33950000002,124338.69570000001,124969.8802,112927.60280000002,126143.18240000003,123349.16739999998,128425.26710000001,125920.69249999993,131618.54929999998,133313.2986,129906.16730000012,134483.56080000004,131324.21619999997,135451.12389999995,137673.1152,129646.3793,126902.74750000001,125914.00410000003,131713.86670000007,130145.9942,135628.15789999996,137532.05900000004,132361.90500000003,137485.8046000001,133721.0394,138842.2142,140172.2817,59396.531399999985
A. CHILE CALIFICADO,220139.6868000001,201322.75130000012,222461.8547999999,216920.63769999996,223838.66089999984,213558.4906,219653.61509999997,219418.5381,211735.5867000002,278565.72350000025,300101.6641000001,302962.2001000002,301850.40710000007,287177.7802000004,311387.63590000005,301757.3476000001,310509.5001000002,298780.0120000002,311643.8265000002,327254.7891000004,329147.49570000015,343894.61860000034,334398.3477000001,342431.0460000003,340991.1280000003,310956.7494000002,353566.54590000014,351095.59139999974,359642.3880000001,346217.2031000001,364299.6122999999,344083.99780000007,337956.6226000002,358687.1870999999,339511.75010000006,348894.62199999974,374434.3441,335895.5494999998,362721.26159999997,352249.43239999976,364854.6256999998,341593.92279999977,345653.95839999965,342912.5354999997,335723.03339999984,343705.4613,331678.8905,340572.9280999998,347765.36999999976,317470.29409999965,344843.9898999998,330090.01080000005,331833.3100999999,321714.7231999997,333402.53450000007,323151.02070000005,316231.03069999977,331803.1768,301453.1857,309476.44009999983,312471.9423999999,281353.2845999999,256193.48049999998,265723.48490000016,274675.8410999999,274190.47430000006,285886.4866000001,283829.9401000001,264151.50700000004,269938.1305000002,271462.93570000015,289464.5661999999,300065.6061000001,125258.72649999992
AC EMERGENTES,204310.04319999996,187894.77899999998,210034.16460000016,210168.52559999996,214435.06869999992,210226.27599999993,232525.17349999998,242372.84050000005,222575.67859999998,239282.7729,235893.72239999988,237215.39900000018,225758.69879999995,201925.70730000007,221480.0784,216459.86920000002,221377.7548,218356.7401999999,227195.65860000008,235754.89760000003,234224.94159999987,239631.90880000012,221531.92669999998,225619.40239999988,228683.40919999985,209494.81869999977,241455.79439999972,235704.36049999978,254643.12099999984,246348.05529999977,257579.18619999988,257887.64029999968,248346.30169999978,260196.2684999999,255551.79129999975,261772.04030000005,266741.2809,233636.8114,260456.87570000012,247030.46820000006,258750.5431000001,247659.82420000015,255008.89649999986,253819.7335,74627.7315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCIONES CHILE,189580.40510000006,177195.10390000007,192615.90139999994,191208.56329999995,196348.0916,182793.36669999998,186300.91980000003,184132.82200000004,175361.0954000001,183731.92939999994,175783.00159999993,171891.75989999998,170147.71389999994,164532.62260000003,180469.59229999996,175494.49860000002,180837.20320000016,173073.07749999987,181708.05570000003,182065.1206000001,172064.12939999992,180878.84249999994,174617.6340000001,176360.9660999999,177082.27839999998,163693.19440000007,192120.22540000005,194786.24660000004,198059.29210000005,189329.97580000007,200255.69630000004,205077.39850000013,203413.81830000007,221513.49949999986,205830.02349999992,208304.46420000013,228034.62709999993,201737.4109999999,216838.0719,213238.6439,220664.2357999999,204713.51890000002,206928.21979999985,206014.96540000002,201130.84760000007,203560.99500000008,195614.98550000007,197634.85370000012,204773.07009999992,186785.3637,200482.56749999986,192534.23500000007,186530.65019999995,180425.37910000014,187387.50329999998,178250.67629999993,178760.9802999999,189415.89969999992,169445.72030000007,174964.56570000004,178125.73630000002,157876.47619999992,128946.12870000003,133350.9100000002,137077.45839999997,138171.25969999994,145775.04770000002,143967.1651,130205.47110000007,132399.46500000005,136729.49550000008,147439.0931000001,158046.91220000008,66178.49970000001
ACCIONES CHILENAS,438913.7454000001,409915.38030000037,450842.4696000001,445784.1513,459694.41280000034,425909.0994,431178.03160000034,428330.7568,435088.42760000005,451604.2488,435154.6025999998,431388.07320000033,424856.87630000006,412828.1247000005,464517.3706,459911.76090000017,472529.8984,452351.11950000026,481349.7758000004,489172.84879999986,468592.5871000001,492602.36760000023,482341.1577000004,519248.23100000026,537285.8002000005,510215.6459000001,599725.9349000001,608785.3961000002,621953.2472000001,594948.8861000002,627193.0270999998,641690.2673000002,634753.8817000008,715369.0132999996,666538.0321000003,678775.2025000005,737286.0356000006,656789.1368000003,709512.2845000001,696310.1516000002,720999.7932000007,691797.6353000004,702433.2927000002,693742.4610000004,572623.3299000002,537976.8778000004,515902.01120000007,524851.3973999999,546435.6178000001,498156.2965,532555.6457999999,509126.68690000015,492773.9246,478063.93299999984,496463.2869,472374.7569999998,473594.8304999998,497352.8169999997,447813.38370000024,464802.9326000002,474213.5631999998,421019.9361999998,344324.17840000015,359582.1225000002,367983.6913,371102.9787999998,390828.3901000002,381937.7943999998,344890.3999999999,352265.7859,365408.30030000024,394004.80069999973,423970.7078,177351.00239999994
ACCIONES EMERGENTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26869.396099999994,29857.951200000003,30885.002599999996,32508.285900000003,28690.001100000005,31867.569400000008,30691.513699999996,31530.567499999997,29865.1222,30357.5682,29995.8812,28500.60920000001,28007.362100000006,27120.8704,27780.683399999994,28692.334599999995,26708.668499999992,29664.1281,29516.417199999996,29038.224899999997,6492.8935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90467.83850000004,130688.54020000002,149221.07809999996,164844.46740000002,175332.34289999984,76282.00300000001
ACCIONES EUROPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128650.21789999999,152709.32590000003,147072.7401,129696.17160000005,143125.3404,141061.96740000008,148745.51589999988,138078.34919999994,129257.94659999998,135091.70430000007,134524.69349999996,134855.98209999994,126098.70939999993,132584.31319999998,136877.42950000003,123030.83589999998,143695.76779999997,143672.815,196842.2959000001,216628.37050000005,224311.88709999993,219399.9339000001,208486.62670000008,218851.48109999992,210843.70089999994,222200.6505000002,224004.16720000005,194209.06270000013,213013.53929999997,204959.4601999999,218066.3899,209403.20570000005,217902.33709999992,219763.35090000002,239114.42149999997,235993.35880000007,217887.7308999998,213689.7665999999,217082.63459999984,196175.7809999999,224565.37089999978,219931.6473,231836.01639999973,222111.96619999982,229761.01909999977,224869.93019999992,221333.3329999999,227166.72169999988,241325.9048999998,249906.4466999998,253957.42649999986,238174.20099999983,204434.41899999985,198650.15049999993,208227.86759999988,213116.44989999986,223145.99919999987,226670.5304999998,215279.72519999993,221467.5057999999,217964.90709999978,230710.14069999973,234731.53309999988,98791.15929999996
ACCIONES LATAM,170119.3758,152880.64979999998,164745.04470000003,163890.24389999994,168521.81410000002,162021.78209999995,165057.8701,157083.95870000002,145306.5876,152329.89460000006,152511.30220000003,151071.49770000004,142966.19759999998,135003.59669999997,157779.82800000013,157623.99019999994,164892.22290000005,159098.617,169654.50069999998,175426.30309999996,169608.68460000004,178938.28199999998,165446.12640000004,164194.6689,173715.5705000001,164216.574,187081.3733000001,181003.46300000002,192108.27039999998,177809.9553999999,189426.68390000003,194127.15320000003,165766.38660000006,166727.68250000005,154671.23979999998,161072.15199999994,169089.0696,156311.3666,198655.16109999997,188927.16599999997,183440.2442,163364.03640000004,175380.81909999996,176384.09349999996,168488.72389999998,192128.68,208229.92379999993,211827.65990000003,228649.52560000005,204938.83560000005,222433.463,207085.41189999998,216073.4997,222941.53340000004,243216.98550000004,233416.21289999987,223378.58150000012,234934.1670999999,245809.83299999998,259447.55990000005,271296.4041000001,247504.47649999996,181315.73930000013,152561.85050000003,157758.09179999997,180445.62999999995,191663.75379999998,192095.22499999995,180644.7528,183107.21919999996,187038.77879999994,213129.1229999999,213883.5474999999,89098.4675
ACCIONES MID CAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45001.467500000006,129289.467,118721.66,154267.3705,150399.7722,160159.7977000001,160859.30899999998,175427.35180000003,176523.7270999999,174918.10109999997,180341.3310999999,171231.80830000006,177182.08399999994,179557.9795999999,163587.1666999999,177837.2836,170425.63219999993,170785.3749,165024.62559999985,169848.84149999998,160218.7350999999,154834.53609999994,161554.91509999984,135545.0377,137682.7302999999,139069.15209999986,123299.39169999992,109718.55929999998,112760.84039999991,118226.98159999991,120504.91889999993,138372.3718999999,161378.73619999998,149323.52659999987,147462.89359999992,142073.38059999986,151078.7488999999,159625.3991,68062.919
ACCIONES NACIONALES,618688.9662999996,573830.2151000005,651718.3047,653251.6138000003,674665.4707999993,633313.1028000001,645079.1949999998,637917.5752999997,610787.8560999994,636005.5852,610376.4656000007,608535.7973999995,605373.6164999997,609233.3580999994,666070.2186,626328.7387000003,645586.3783,618708.2822999997,651919.2513000002,657031.6443,627367.8188999996,656103.9621000001,634851.5470999999,646836.1494000001,649379.7147999997,595090.5704000001,726259.5452999996,732984.9689999995,755039.7477000001,749014.9916000001,791332.6300000004,810714.0945000004,799002.4047000005,863039.6576000002,808412.8613000006,826074.3688999997,911124.9413000002,826235.6761999989,894475.1665999992,876779.3863999998,897782.8021000003,830539.8504000005,842315.0678000003,844354.1549999986,860229.8076999997,872642.5570999993,837526.4950999997,856684.5970999992,883756.2598999996,803508.5389000005,864800.2239999996,818937.9419999998,782474.5885999996,756000.206999999,809067.2249999993,776331.0740999995,770993.1666,806530.9874999984,725889.3476000001,751277.0207,761512.1818999981,681911.4622999998,587330.5875999999,603958.3180000004,623868.6865,624412.3473999999,656066.4489999986,644926.2121000007,593150.421200001,605076.1360999998,613686.6773000006,657543.3434000004,695994.4386000005,291872.8170000003
