fundRUN,fundName,fundSeries,aafmCategory,svsCategory,svsCategoryId,currency,fundRUNSeries,userCategory,2015_return,2015_stdev,2016_return,2016_stdev,2017_return,2017_stdev,2018_return,2018_stdev,2019_return,2019_stdev,2020_return,2020_stdev,avg_ann_return,ann_stdev
8812-9,A. CHILE CALIFICADO,D,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8.0,P,8812-9D,"Domestic Bond, < 365",-5.420504944893045,9.165918256801273,2.6891075137483123,8.578742377452132,35.83699151960498,23.67549412878977,-14.457156212126055,9.364660117882115,-16.414704643271982,17.470150693856098,-3.48938678738947,31.08210457543455,-1.552503289742424,19.03296125689646
8289-9,ACCIONES CHILE,APV,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8289-9APV,Domestic Equity,-7.636787518516341,9.467785905552743,0.6092299702824322,10.47155568665902,26.47413943631789,22.501344232499896,-13.766385854739237,10.247624823249708,-14.966471912664826,14.545634131640824,-11.768764132817044,33.19810295630784,-4.463068232244172,15.733393968853896
8076-4,ACCIONES CHILENAS,APV,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8076-4APV,Domestic Equity,-6.712809497518657,10.48916121532716,17.97405593163488,13.528807329221532,27.455572283939624,20.971895633169133,-15.073200612334425,9.934304975113442,-15.961138436718192,12.69048967092901,-11.987747064769817,32.645364002511386,-2.087253111511733,18.678935316457235
9254-1,ACCIONES EUROPA,ALTO,Accionario Europa Desarrollado,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,9254-1ALTO,International Equity,,,-2.8955717384608115,22.83250045754616,16.679332150727987,13.174717340674421,-18.671454877256277,15.316011878741584,18.475125417721337,14.616835246885318,-10.519692387275247,35.7608128019504,-0.3895038748011115,16.472095093388468
8247-3,ACCIONES LATAM,A,Accionario America Latina,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8247-3A,International Equity,-14.487333860450724,15.997782342776713,20.565080570876404,18.098359442385835,11.583053089758199,8.23008506454558,-11.359452113742885,19.866254388719813,13.133111792963792,15.405676041230043,-22.607349590763082,49.02794953650223,-1.8714566483465922,17.764586465311876
9537-0,ACCIONES MID CAP,APV,Accionario Nacional Otros,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,9537-0APV,Domestic Equity,,,,,,,-7.629720733734313,11.85616322741953,-27.40098712740536,21.62243995371716,-9.714087913909475,32.02013191351245,-8.022734523286568,10.86334789663281
8529-4,ACCIONES NACIONALES,APV,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8529-4APV,Domestic Equity,-5.594936794385785,8.733562942102331,7.954177798618844,10.36720577881252,30.801318976185964,21.47459133411559,-15.037864042035542,10.1220312811103,-20.14593184968695,14.852623691540801,-9.812497450627077,34.547269084858264,-3.3387035761438977,18.69880805513043
8740-8,ACTIVA A,A,Balanceado Agresivo,FM DE LIBRE INVERSION,6.0,P,8740-8A,"Balanced, Aggressive",0.9756923761270242,8.662804257330269,-6.426377436321939,8.853148774905971,8.639272656399566,7.271951158590505,-7.917073762177362,9.54439687469441,18.650050446907617,10.217813447872649,7.000341118275144,18.225219426684344,3.0856520265063025,10.034362906962263
8116-7,ACTIVA C,A,Balanceado Moderado,FM DE LIBRE INVERSION,6.0,P,8116-7A,"Balanced, Moderate",0.4091872056206203,5.123288248490993,-1.9561460415823961,5.068432248237566,4.409488370185866,4.850709584125811,-4.558124917304052,5.30817313848223,14.78160237659547,5.811914296819745,5.66807953049544,11.998191805623227,2.9393628235983904,6.873392652529618
8741-6,ACTIVA D,A,Balanceado Conservador,FM DE LIBRE INVERSION,6.0,P,8741-6A,"Balanced, Conservative",1.439239057221986,3.733627198207719,1.2378153503730394,3.3225575772070934,2.52428538671714,2.905480579899796,-1.300534325561864,2.8496804967698695,8.9560799798724,4.078974147299194,5.219635977551729,7.591539759793914,2.9610811146844718,3.5961887051861945
8886-2,ACTIVA E,A,"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",FM DE LIBRE INVERSION,6.0,P,8886-2A,"Domestic Bond, > 365",1.0433966292658692,1.0363414593366829,4.034107323756775,1.5124888574149653,1.63884239531491,0.9066336378009814,2.0470828179163014,0.48220948093053423,3.7011576242338196,3.261207847276342,3.9027069890240185,3.4723792114874725,2.720961412567413,1.3054263321307542
8555-3,ACTIVO AGRESIVO,B,Balanceado Agresivo,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8555-3B,"Balanced, Aggressive",11.38742935574395,11.929270138483957,9.353355944305598,13.612821763908498,10.191614734225674,6.919849535525701,-8.514759745435008,7.4004329546601495,16.33537349647851,9.598031018430728,4.274702660269036,21.304009957579076,6.8668736052953205,8.60328315837408
8377-1,ACTIVO CONTROLADO,B1,Balanceado Conservador,FM DE LIBRE INVERSION,6.0,P,8377-1B1,"Balanced, Conservative",,,,,,,1.4214847384791618,1.1321559085182527,5.984831458261475,3.4693873636072183,2.8235927625574586,7.474055182459492,1.6820769899958288,2.337501168889161
