fundRUN,fundName,fundSeries,aafmCategory,svsCategory,svsCategoryId,currency,fundRUNSeries,userCategory,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,x_coord,y_coord,netPatrimony,providedFlow,rescuedFlow,ann_return,ann_stdev,dist_anomaly,netPatrimony_scaled,2015_return,2015_stdev,2016_return,2016_stdev,2017_return,2017_stdev,2018_return,2018_stdev,2019_return,2019_stdev,2020_return,2020_stdev,cluster
8812-9,A. CHILE CALIFICADO,D,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,8812-9D,"Domestic Bond, < 365",0,0.028057086,-0.003358589,0.015325982,-0.006236936,-0.037488004,-0.000402218,0.00703903,-0.034121766,0.026462515,-0.053120037,0.005806281,0.014330733,0.00642924,0.03162907,-0.004514101,-0.013538498,0.007876504,0.027998853,-0.012221556,-0.022042977,0.050561724,-0.017919872,-0.024663345,0.000296165,0.035611785,0.098356675,-0.000351129,0.004398978,-0.021446562,0.084536513,0.033240927,0.052157164,0.037678509,-0.123479544,0.133412804,0.068055104,-0.049191176,-0.033326093,0.036493754,-0.038940028,-0.038653652,-0.003716052,-0.009698459,0.022382442,-0.029571093,-0.001379259,-0.005773928,0.054372341,-0.020702334,-0.009169203,-0.026414318,-0.028578522,0.019138761,-0.007693044,-0.055835115,0.069928446,-0.072831969,-0.092608566,0.059738539,-0.042211616,-0.109307465,-0.115305293,0.132672471,-0.057719863,0.070310834,0.020237036,-0.050056112,-0.044621209,-0.035133034,0.144541192,0.048542482,0.007058684,49.043568,31.558483,205701287,1397998.554,1624004.933,0.05483277,18.27544875,0,10.02673537,-5.420504945,9.165918257,2.689107514,8.578742377,35.83699152,23.67549413,-14.45715621,9.364660118,-16.41470464,17.47015069,-3.489386787,31.08210458,3
8289-9,ACCIONES CHILE,APV,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8289-9APV,Domestic Equity,0,0.030317259,-0.01123652,0.010636899,-0.008616997,-0.038942335,0.002468798,-0.007396461,-0.036059844,0.0326451,-0.05288443,0.003688044,0.00614782,0.006241716,0.031674338,0.007276243,-0.025878765,0.0042718,0.026447495,-0.017041762,-0.027536828,0.062187858,-0.03633099,-0.020722414,0.006329219,0.039677676,0.097295937,-0.007474257,-0.005127476,-0.027881671,0.065377467,0.014866107,0.046318637,0.045388546,-0.122369685,0.112718541,0.050652912,-0.049921875,-0.019903585,0.043134971,-0.049082941,-0.034309674,0.020735291,-0.019042278,0.014085969,-0.034263878,-0.008196632,-0.005956945,0.051925414,-0.023978118,-0.011401822,-0.01953331,-0.057593425,0.023901244,-0.017770507,-0.037179081,0.070575485,-0.061711101,-0.054128544,0.036661897,-0.025955093,-0.092778109,-0.17266821,0.136456781,-0.082938932,0.073079792,0.019197849,-0.053094043,-0.034061744,-0.035529862,0.127005275,0.037328914,0.021519425,48.59996,29.826206,90935637.59,53987.75765,27503.39808,-2.699521565,18.13387381,0,10.01181907,-7.636787519,9.467785906,0.60922997,10.47155569,26.47413944,22.50134423,-13.76638585,10.24762482,-14.96647191,14.54563413,-11.76876413,33.19810296,3
8076-4,ACCIONES CHILENAS,APV,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8076-4APV,Domestic Equity,0,0.047433733,-0.018137306,0.025865295,-0.015442558,-0.044328883,-0.010032779,-0.011242821,-0.039243388,0.032466459,-0.035552701,0.003521176,-0.01112041,0.030195054,0.074801991,0.018680453,-0.030446755,0.004874269,0.060047413,0.000373399,-0.017078316,0.07295238,-0.029181546,-0.011236529,0.01068802,0.041060699,0.098667397,-0.00052404,-0.003851218,-0.026698673,0.061747966,0.016395606,0.034891726,0.044304693,-0.1096626,0.10741827,0.056660287,-0.044530958,-0.020325339,0.033838143,-0.056003346,-0.029869267,0.020987281,-0.02923321,0.011263706,-0.03851137,-0.001481852,-0.004151638,0.055606368,-0.025005707,-0.020400538,-0.020372125,-0.053436378,0.019536908,-0.015392644,-0.033254803,0.055323948,-0.061337373,-0.044432257,0.032960588,-0.019882584,-0.098378715,-0.152171776,0.129128294,-0.094408093,0.079962955,0.015541237,-0.061667025,-0.035633307,-0.028523352,0.132270083,0.031447884,0.024364409,46.495964,24.676537,5264871267,1849870.358,3550476.169,-0.22813388,18.09852158,0,10.684285,-6.712809498,10.48916122,17.97405593,13.52880733,27.45557228,20.97189563,-15.07320061,9.934304975,-15.96113844,12.69048967,-11.98774706,32.645364,3
9254-1,ACCIONES EUROPA,ALTO,Accionario Europa Desarrollado,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,9254-1ALTO,International Equity,0,0.037605,0.013984689,-0.012843277,0.017594982,-0.011900085,0.065081211,-0.044559949,-0.042515888,0.061697712,0.030274504,0.016449152,-0.093643332,-0.021043156,0.065944784,0.014908232,0.022161697,-0.16628287,0.064391381,0.042253605,-0.020662824,-0.047850252,-0.000451275,0.040541616,0.004534967,0.017951158,0.054444405,0.049951236,0.065516678,-0.010573141,0.006356388,-0.060472407,0.046776102,0.006118134,0.01150641,-0.025016047,0.038243051,-0.066670333,-0.011439348,0.023555015,-0.00470671,0.013182992,0.008785119,0.06345472,-0.038727256,-0.086363326,-0.045497454,-0.050402547,0.042807039,0.015445463,0.020859972,0.053880454,-0.01781493,-0.007515826,-0.002502564,-0.024737937,0.030427557,0.038716466,0.110821112,-0.038156522,0.025621125,-0.04707865,-0.203553007,0.067919925,0.02350277,0.04844845,-0.05271515,0.071054502,-0.031470433,-0.091699512,0.193173985,-0.033948296,0.019621638,-46.02601,3.8151567,1038921639,6401804.997,1216733.51,0.444372749,20.99134303,0,10.13503056,,,-2.895571738,22.83250046,16.67933215,13.17471734,-18.67145488,15.31601188,18.47512542,14.61683525,-10.51969239,35.7608128,1
8247-3,ACCIONES LATAM,A,Accionario America Latina,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8247-3A,International Equity,0,0.017204453,-0.050829905,0.050475717,-0.049506282,0.020643684,-0.025067211,-0.075318461,-0.050856357,0.05297809,0.019148223,-0.053516093,-0.052873238,0.028784546,0.113862835,0.053403496,-0.037414647,0.032340003,0.044100547,0.034965466,-0.033545773,0.047594902,-0.072605112,-0.009393693,0.054087403,0.043609635,0.032905339,-0.006947371,-0.00681704,-0.020022299,0.042857627,0.012733055,0.032838772,-0.001029648,-0.015579534,-0.00161937,0.079045945,-0.034106628,-0.017836364,-0.004594799,-0.121373702,-0.033001007,0.080468706,-0.030470923,0.003324153,0.084901113,-0.042175284,0.011576606,0.073444933,-0.038045818,-0.028370859,0.014725476,0.027695184,0.030618882,0.046268696,-0.080356407,0.044735497,0.075993544,0.024356197,0.016468764,0.028086118,-0.095708642,-0.357309873,0.035468469,0.05894986,0.088180382,0.032770003,-0.035445352,-0.065447568,-0.019082441,0.213664336,0.006957911,-0.017004657,-2.5410779,-44.528522,2430189463,12716655.05,8701921.556,0.701075908,23.83197066,0,10.3158562,-14.48733386,15.99778234,20.56508057,18.09835944,11.58305309,8.230085065,-11.35945211,19.86625439,13.13311179,15.40567604,-22.60734959,49.02794954,6
9537-0,ACCIONES MID CAP,APV,Accionario Nacional Otros,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,9537-0APV,Domestic Equity,0,0.047943391,-0.021308026,0.004851105,-0.020093047,-0.033442413,-0.015115747,-0.004841664,-0.018464832,0.011843371,-0.035590378,0.00257914,0.004447602,0.028131738,0.054944722,0.003595296,-0.002064035,0.000278257,0.071451785,0.020250378,0.020582256,0.023891872,-0.037739773,-0.058249103,0.009705523,0.045002562,0.134134412,0.027655585,-0.017768302,-0.042546374,0.098157539,0.018148531,0.036072118,0.077922627,-0.176269667,0.181974739,0.055156612,-0.022870328,-0.045155157,0.051393532,-0.011904412,-0.05693818,-0.004359608,0.012255891,0.037403774,-0.044377021,0.008130479,0.003226168,0.032346191,-0.007044585,-0.024430998,-0.008087505,-0.038140546,0.025172398,-0.032595328,-0.087333036,0.071566508,-0.096556713,-0.13884005,0.040966442,-0.020509398,-0.104783774,-0.158250005,0.141278177,-0.016066188,0.08648857,0.00248721,0.02340967,-0.069107996,-0.082456586,0.097176656,0.021399227,0.037976822,55.242977,24.268888,152253613.7,474190.8338,96843.84973,-11.85795793,22.21045512,0,10.01978868,,,,,,,-7.629720734,11.85616323,-27.40098713,21.62243995,-9.714087914,32.02013191,3
8529-4,ACCIONES NACIONALES,APV,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,8529-4APV,Domestic Equity,0,0.033108265,-0.009743783,0.021097506,-0.007140168,-0.037953258,-0.000136893,-0.009164886,-0.030706134,0.025587475,-0.04246798,0.003291499,0.008890641,0.017539754,0.044640321,0.013070253,-0.023076655,0.006424551,0.037816964,0.003375135,-0.028078928,0.054981997,-0.033344732,-0.012110791,0.007639437,0.036611022,0.100630003,-0.00330802,-0.00179375,-0.020717345,0.066126216,0.019460707,0.039410562,0.045672153,-0.109069223,0.118046586,0.053086382,-0.043542941,-0.015841172,0.031175819,-0.05829186,-0.033560958,0.022765367,-0.029468156,0.009823217,-0.040335776,0.004282453,-0.004445802,0.051976947,-0.031168916,-0.018364302,-0.021998964,-0.055794092,0.017061229,-0.019612952,-0.040945098,0.061934558,-0.07292263,-0.068795225,0.037159496,-0.023432469,-0.104812953,-0.169411948,0.151413072,-0.070837708,0.080620254,0.010186703,-0.053124753,-0.03723338,-0.036643207,0.134704907,0.042234688,0.02713697,48.737633,27.735281,1808905392,512085.2193,342853.1782,-1.335990029,18.49002761,0,10.23510676,-5.594936794,8.733562942,7.954177799,10.36720578,30.80131898,21.47459133,-15.03786404,10.12203128,-20.14593185,14.85262369,-9.812497451,34.54726908,3
8740-8,ACTIVA A,A,Balanceado Agresivo,FM DE LIBRE INVERSION,6,P,8740-8A,"Balanced, Aggressive",0,0.016769075,-0.000820099,-0.008684899,0.004730578,-0.001949091,0.032977544,-0.031983145,-0.039230057,0.041959807,0.014940798,-0.015871293,-0.051049277,-0.04198406,0.007426268,-0.01593225,0.040568675,-0.04387973,0.018239063,0.00392358,-0.027882262,-0.006541849,0.00770938,-0.0045831,-0.005098903,0.019895911,0.035112507,0.014008275,0.017045729,-0.015855636,0.017650467,-0.023037484,0.026637035,0.012765823,-0.029548978,0.010709923,0.036962044,-0.05461584,-0.00511303,0.012072431,0.009254596,0.00350213,0.005782862,0.047242053,-0.021387139,-0.024563536,-0.013141053,-0.037390541,0.03669094,0.009053415,0.039092432,0.032352777,-0.023764566,0.019136165,0.026997098,-0.00063644,0.024128637,0.0026998,0.076207833,-0.028662031,0.046576088,-0.047230723,-0.072592302,0.078060806,0.012989984,0.051589822,-0.015405798,0.061822308,-0.014575697,-0.032137303,0.07857854,-0.019530646,0.026787764,-30.698345,-0.9082291,1058200359,4253241.196,1154937.385,4.523173012,11.11761608,0,10.13753625,0.975692376,8.662804257,-6.426377436,8.853148775,8.639272656,7.271951159,-7.917073762,9.544396875,18.65005045,10.21781345,7.000341118,18.22521943,9
8116-7,ACTIVA C,A,Balanceado Moderado,FM DE LIBRE INVERSION,6,P,8116-7A,"Balanced, Moderate",0,0.013058419,0.001264283,-0.012994385,0.004319657,0.000402811,0.020964105,-0.014077489,-0.022749502,0.022355289,0.004915955,-0.012281923,-0.026989849,-0.017379756,0.003532872,-0.007178084,0.025863264,-0.023066225,0.013029018,0.004339662,-0.011095698,-0.012906819,-0.004250096,0.010443226,-0.001407251,0.019094381,0.022479674,0.007294658,0.007390862,-0.009838648,0.008394466,-0.013891601,0.013289362,0.008900868,-0.022978667,0.004082116,0.021671589,-0.029779706,-0.004125083,0.00779027,0.005757171,0.00215511,0.003875842,0.024967964,-0.01182545,-0.017563781,-0.006545748,-0.020082819,0.021503802,0.003890534,0.031600045,0.022040243,-0.004006759,0.015986235,0.027095681,0.003580923,0.012605487,-0.008718291,0.042485816,-0.006445864,0.022128188,-0.035413079,-0.043685012,0.061098802,0.023315769,0.024286816,-0.01106774,0.037160108,-0.01413051,-0.015179925,0.047147572,-0.012316379,0.01840664,-14.176947,-1.0267525,1877414528,8989524.608,2220206.04,3.81723457,6.836139682,0,10.24401102,0.409187206,5.123288248,-1.956146042,5.068432248,4.40948837,4.850709584,-4.558124917,5.308173138,14.78160238,5.811914297,5.66807953,11.99819181,7
8741-6,ACTIVA D,A,Balanceado Conservador,FM DE LIBRE INVERSION,6,P,8741-6A,"Balanced, Conservative",0,0.008357027,-0.000362459,-0.012259586,0.006171026,0.003088661,0.020879849,-0.002833008,-0.015815566,0.012077245,0.003450353,-0.007874582,-0.010454981,-0.003173899,0.003928342,-0.002162679,0.014089622,-0.010254308,0.008958478,0.008824351,-0.003377607,-0.008768672,-0.010751868,0.015456202,0.002544865,0.012497042,0.015468185,0.005080609,0.004393156,-0.004981574,0.0046633,-0.006505774,0.00260274,0.001297162,-0.014127692,0.00492229,0.014118883,-0.015662698,-0.00126533,0.004568125,0.004682692,0.002529712,0.00361869,0.01363901,-0.006098106,-0.009808647,-0.001095141,-0.00785229,0.011711239,0.002406221,0.015852565,0.011873837,0.001827983,0.016011691,0.021914204,0.007404805,0.010435788,-0.021564526,0.017091069,0.003551352,0.015514535,-0.024876418,-0.021904569,0.044020136,0.022042483,0.012647863,-0.006567213,0.022973663,-0.014484831,-0.001720535,0.024225244,-0.002975656,0.014399486,-9.112801,4.6571426,4644786378,19681250.95,2479601.478,3.724774855,4.288168745,0,10.60369143,1.439239057,3.733627198,1.23781535,3.322557577,2.524285387,2.90548058,-1.300534326,2.849680497,8.95607998,4.078974147,5.219635978,7.59153976,7
