fundRUNSeries,netPatrimony,providedFlow,rescuedFlow
8011-K100,9273251300.780823,140903564.68038505,134577046.89877996
8011-KB,5882267191.830137,25403340.435635455,29611967.467815805
8011-KC,30576697838.38904,215486314.19319537,232057809.1893435
8011-KCASH,10627324992.961643,33851216.20221146,41324630.54905963
8011-KG,62703188268.37808,170449859.85161826,181151653.42359003
8011-KI,11133959460.983562,8219350.0937701315,27014005.312693655
8011-KLP180,64459573295.37534,410548555.2039927,504916886.0931473
8011-KLP3,6724446893.690411,36504901.98779487,43821185.42483054
8011-KLPI,17640064034.172604,105185761.59291574,161556277.1771305
8011-KPLAN1,238476337.95342466,1253940.487174038,1821141.4940123085
8011-KPLAN2,141690027.72876713,740422.6261747901,740817.7789151629
8011-KPLAN3,255634389.40273973,3650497.5235048267,3621292.250948611
8011-KPLAN4,1526357207.5424657,6640942.008222706,7736226.428174195
8023-3A,41993464198.833336,131444825.9106434,93196696.47989845
8023-3B,4867517224.480769,1939319.9436144533,6403956.977369151
8023-3BCH,66529976999.59066,62390109.90720066,110576923.09364204
8023-3BPLUS,788323668.1071428,0.0,0.0
8023-3D,18837558586.63889,29053931.61673187,19222739.353124317
8023-3E,468992849.9722222,21.40996683,135679254.02136764
8023-3L,17818429439.609756,58164459.43585697,56849801.32194853
8023-3M,35161008349.88415,24639346.44523016,38459113.18250969
8023-3V,9481610930.898352,4067381.41995602,736542.9661753471
8026-8A,282922935846.3434,24190037786.57196,24358429927.486145
8026-8B,7708334658.604396,34984698.45509866,32274496.618518233
8026-8BCH,508504510.4395604,88740482.04952906,88762368.10327879
8026-8BPLUS,1943734394.6758242,22988006.824499797,24950810.50345536
8026-8IT,254314795550.239,220357218854.71198,220902288508.09787
8026-8P,577986507530.4478,121949058169.58226,122106637985.00406
8028-4A,17952918599.26,48776163.52948755,44475669.50481887
8028-4B,1593419062.4972527,548944.407028946,1685561.2334016191
8028-4BCH,70190034047.16484,98461538.47844072,127939560.45589225
8028-4BPLUS,351723731.84615386,91164.97289705744,0.0
8028-4D,19739624492.72,41386441.348040424,26808798.42529088
8028-4E,140128630.1,21.3005225088,34994657.027227454
8028-4L,16935306742.181528,47682900.944115445,51355961.72327813
8028-4M,14436864450.025478,12544913.380526247,24311670.01668362
8028-4P1,7538808578.285714,16483516.494055504,22752331.819278795
8029-2APV,1868945179.4931507,3335670.000953874,2671346.097124106
8029-2CLASICA,22675042860.20548,82731907.3026108,78419272.26574358
8029-2E,0.0,0.0,0.0
8029-2INSTITUCIO,11594794559.408218,60314459.11697737,67440663.49752218
8029-2K,4440973301.367124,0.0,14431298.586015845
8029-2LARGOPLAZO,669314719.5726027,2050548.812853365,1304105.066934825
