fundRUN,fundName,fundSeries,aafmCategory,svsCategory,svsCategoryId,currency,fundRUNSeries,userCategory,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21
8812-9,A. CHILE CALIFICADO,D,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8.0,P,8812-9D,"Domestic Bond, < 365",767.054,788.5753,785.9268,797.9719,792.995,763.2672,762.9602,768.3307,742.1139,761.7521,721.2878,725.4758,735.8724,740.6035,764.0281,760.5792,750.2821,756.1917,777.3642,767.8636,750.9376,788.9063,774.7692,755.6608,755.8846,782.803,859.7969,859.495,863.2759,844.7616,916.1748,946.6293,996.0028,1033.5307,905.9108,1026.7709,1096.6479,1042.7025,1007.9533,1044.7373,1004.0552,965.2448,961.6579,952.3313,973.6468,944.855,943.5518,938.1038,989.1107,968.6338,959.7522,934.401,907.6972,925.0694,917.9528,866.6988,927.3057,859.7682,780.1463,826.7511,791.8526,705.2972,623.9727,706.7567,665.9628,712.7872,727.2119,690.8105,659.9857,636.7984,728.842,764.2218,769.6162
8289-9,ACCIONES CHILE,APV,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8289-9APV,Domestic Equity,857.0135,882.9958,873.074,882.3608,874.7575,840.6924,842.7679,836.5344,806.3691,832.6931,788.6566,791.5652,796.4316,801.4027,826.7866,832.8025,811.2506,814.7161,836.2633,822.0119,799.3763,849.0878,818.2396,801.2837,806.3552,838.3495,919.9175,913.0418,908.3602,883.0336,940.7641,954.7496,998.9723,1044.3142,916.5218,1019.8308,1071.4882,1017.9975,997.7357,1040.773,989.6888,955.7329,975.5503,956.9736,970.4535,937.202,929.5201,923.983,971.9612,948.6554,937.839,919.5199,866.5616,887.2735,871.5062,839.1044,898.3246,842.888,797.2637,826.4929,805.0412,730.351,604.2426,686.6956,629.7418,675.7632,688.7364,652.1686,629.9546,607.5724,684.7373,710.2978,725.583
8076-4,ACCIONES CHILENAS,APV,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8076-4APV,Domestic Equity,4264.7434,4467.0361,4386.0161,4499.4617,4429.9785,4233.6025,4191.1277,4144.0076,3981.3827,4110.6441,3964.4996,3978.4593,3934.2172,4053.0111,4356.1844,4437.5599,4302.4506,4323.4219,4583.0322,4584.7435,4506.4438,4835.1996,4694.101,4641.3556,4690.9625,4883.5767,5365.4265,5362.6148,5341.9622,5199.3389,5520.3875,5610.8976,5806.6715,6063.9343,5398.9475,5978.8931,6317.6589,6036.3275,5913.6371,6113.7436,5771.3535,5598.9674,5716.4745,5549.3636,5611.87,5395.7492,5387.7535,5365.3855,5663.7351,5522.1094,5409.4554,5299.2533,5016.0804,5114.0791,5035.3599,4867.91,5137.222,4822.1183,4607.8607,4759.7385,4665.1026,4206.1558,3566.0976,4026.5817,3646.4398,3938.0199,3999.2216,3752.6015,3618.8839,3515.6612,3980.678,4105.8619,4205.8988
9254-1,ACCIONES EUROPA,ALTO,Accionario Europa Desarrollado,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,9254-1ALTO,International Equity,,,,,,,,,,,1002.1854,1018.6705,923.2788,903.8501,963.4543,977.8177,999.4878,833.2901,886.9468,924.4235,905.3223,862.0024,861.6134,896.5446,900.6104,916.7774,966.6908,1014.9782,1081.4762,1070.0416,1076.8432,1011.7239,1059.0484,1065.5278,1077.7882,1050.8262,1091.013,1018.2748,1006.6264,1030.3375,1025.488,1039.007,1048.1348,1114.6439,1071.4768,978.9405,934.4012,887.305,925.2879,939.5794,959.179,1010.86,992.8516,985.3895,982.9235,958.608,987.7761,1026.0193,1139.7239,1096.236,1124.3228,1071.3912,853.3063,911.2628,932.68,977.8669,926.3185,992.1376,960.9146,872.7992,1041.4013,1006.0475,1025.7878
8247-3,ACCIONES LATAM,A,Accionario America Latina,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8247-3A,International Equity,1693.6139,1722.7516,1635.1843,1717.7214,1632.6834,1666.388,1624.6163,1502.2527,1425.8536,1501.3926,1530.1416,1448.2544,1371.6805,1411.1637,1571.8428,1655.7847,1593.8341,1645.3787,1717.9408,1778.0094,1718.3647,1800.1501,1669.45,1653.7677,1743.2157,1819.2367,1879.0993,1866.0445,1853.3236,1816.2158,1894.0545,1918.1716,1981.162,1979.1221,1948.2883,1945.1333,2098.8882,2027.3022,1991.1425,1981.9936,1741.4317,1683.9627,1819.469,1764.0281,1769.892,1920.1578,1839.1746,1860.466,1997.1078,1921.1262,1866.6222,1894.1091,1946.5668,2006.1685,2098.9913,1930.3239,2016.6779,2169.9324,2222.7837,2259.3902,2322.8477,2100.5311,1349.9906,1397.8727,1480.2771,1610.8085,1663.5947,1604.628,1499.609,1470.9928,1785.2915,1797.7134,1767.1439
9537-0,ACCIONES MID CAP,APV,Accionario Nacional Otros,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,9537-0APV,Domestic Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003.3575,1058.6993,1034.4865,987.7741,1038.5393,1026.1761,967.7475,963.5285,975.3374,1011.8187,966.9172,974.7787,977.9235,1009.5556,1002.4437,977.953,970.0438,933.0458,956.5328,925.3543,844.5403,904.9811,817.5991,704.0836,732.9274,717.8955,642.6717,540.9689,617.396,607.4768,660.0166,661.6582,677.1474,630.3511,578.3745,634.579,648.1585,672.7735
8529-4,ACCIONES NACIONALES,APV,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8529-4APV,Domestic Equity,2871.3193,2966.3837,2937.4799,2999.4534,2978.0368,2865.0106,2864.6184,2838.3645,2751.2093,2821.6058,2701.7779,2710.6708,2734.7704,2782.7376,2906.9599,2944.9546,2876.9949,2895.4783,3004.9765,3015.1187,2930.4574,3091.5798,2988.4919,2952.2989,2974.8528,3083.7652,3394.0845,3382.8568,3376.7888,3306.8307,3525.4989,3594.1076,3735.7534,3906.3733,3480.3082,3891.1467,4097.7136,3919.2871,3857.201,3977.4524,3745.5993,3619.8934,3702.3016,3593.2016,3628.4984,3482.1401,3497.0522,3481.505,3662.463,3548.308,3483.1458,3406.5202,3216.4565,3271.3332,3207.1727,3075.8547,3266.3564,3028.1651,2819.8418,2924.6257,2856.0945,2556.7388,2123.5967,2445.137,2271.9291,2455.0926,2480.1019,2348.3471,2260.9102,2178.0632,2471.459,2575.8403,2645.7408
8740-8,ACTIVA A,A,Balanceado Agresivo,FM DE LIBRE INVERSION,6.0,P,8740-8A,"Balanced, Aggressive",1268.8118,1290.0886,1289.0306,1277.8355,1283.8804,1281.378,1323.6347,1281.3007,1231.0352,1282.6892,1301.8536,1281.1915,1215.7876,1164.7439,1173.3936,1154.6988,1201.5434,1148.82,1169.7734,1174.3631,1141.6192,1134.1509,1142.8945,1137.6565,1131.8557,1154.375,1194.908,1211.6466,1232.3,1212.7611,1234.1669,1205.7348,1237.852,1253.6542,1216.61,1229.6398,1275.0898,1205.4497,1199.2862,1213.7645,1224.9974,1229.2875,1236.3963,1294.8062,1267.114,1235.9892,1219.747,1174.14,1217.2203,1228.2403,1276.2552,1317.5456,1286.2347,1310.8483,1346.2374,1345.3806,1377.8428,1381.5627,1486.8486,1444.2325,1511.4992,1440.11,1335.5691,1439.8247,1458.528,1533.7732,1510.1442,1603.5048,1580.1326,1529.3514,1649.5256,1617.3093,1660.6334
8116-7,ACTIVA C,A,Balanceado Moderado,FM DE LIBRE INVERSION,6.0,P,8116-7A,"Balanced, Moderate",1101.4274,1115.8103,1117.221,1102.7034,1107.4667,1107.9128,1131.1392,1115.2156,1089.845,1114.2088,1119.6862,1105.9343,1076.0853,1057.3832,1061.1188,1053.502,1080.749,1055.8202,1069.5765,1074.2181,1062.2989,1048.588,1044.1314,1055.0355,1053.5508,1073.6677,1097.8034,1105.8115,1113.9844,1103.0243,1112.2836,1096.8322,1111.4084,1121.3009,1095.5349,1100.007,1123.8459,1090.3781,1085.8802,1094.3395,1100.6398,1103.0118,1107.2869,1134.9336,1121.5125,1101.8145,1094.6023,1072.6196,1095.685,1099.9478,1134.7062,1159.7154,1155.0687,1173.5339,1205.3316,1209.6478,1224.896,1214.217,1265.804,1257.6448,1285.4742,1239.9516,1185.7843,1258.2343,1287.571,1318.842,1304.2454,1352.7113,1333.5968,1313.3529,1375.2743,1358.3359,1383.3383
8741-6,ACTIVA D,A,Balanceado Conservador,FM DE LIBRE INVERSION,6.0,P,8741-6A,"Balanced, Conservative",1144.2227,1153.785,1153.3668,1139.227,1146.2572,1149.7976,1173.8052,1170.4798,1151.968,1165.8806,1169.9033,1160.6908,1148.5558,1144.9104,1149.408,1146.9222,1163.0819,1151.1553,1161.4679,1171.7171,1167.7595,1157.5198,1145.0743,1162.7728,1165.7319,1180.3001,1198.5572,1204.6466,1209.9388,1203.9114,1209.5256,1201.6567,1204.7843,1206.3471,1189.3042,1195.1583,1212.0326,1193.0489,1191.5393,1196.9824,1202.5875,1205.6297,1209.9925,1226.4956,1219.0163,1207.0594,1205.7375,1196.2697,1210.2795,1213.1917,1232.4239,1247.0575,1249.3371,1269.3411,1297.1577,1306.7629,1320.4,1291.9262,1314.0066,1318.6731,1339.1317,1305.8189,1277.2155,1333.4387,1362.831,1380.0679,1371.0047,1402.5017,1382.1867,1379.8086,1413.2348,1409.0295,1429.3188
