field1,fundRUN,fundName,fundSeries,bloombergCode,APV,aafmCategory,svsCategory,svsCategoryId,currency,fixedRemuneration,variableRemuneration,investmentCommission,rescuedCommission,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021
2185,8812-9,A. CHILE CALIFICADO,A,ACCHICA CI,NO,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8,P,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
237169,8162-0,AC EMERGENTES,A,CORPASI CI,NO,Accionario Emergente,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,802545.3095,0,0,482,898.542,890.6828,903.2852,926.1299,921.3001,917.9266,919.2881,866.7555,850.5335,894.4375,892.5287,879.0351,807.387,781.9675,818.7529,798.272,828.089,807.9919,842.1426,881.1856,865.5045,838.5494,830.101,803.7904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237247,8587-1,ACCIONES CHILENAS,A,A18TERA CI,NO,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,313791.3454,0,0,0,946.4151,971.2197,966.3604,976.9819,957.909,913.3021,897.2501,891.8716,868.2392,887.6627,844.9659,846.739,855.9492,866.1332,899.4203,902.0488,879.3504,881.9383,890.7359,868.6505,823.3659,861.1267,835.1886,809.4778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,8247-3,ACCIONES LATAM,A,EUCAPIA CI,NO,Accionario America Latina,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,512407,0,0,0,1693.6139,1722.7516,1635.1843,1717.7214,1632.6834,1666.388,1624.6163,1502.2527,1425.8536,1501.3926,1530.1416,1448.2544,1371.6805,1411.1637,1571.8428,1655.7847,1593.8341,1645.3787,1717.9408,1778.0094,1718.3647,1800.1501,1669.45,1653.7677,1743.2157,1819.2367,1879.0993,1866.0445,1853.3236,1816.2158,1894.0545,1918.1716,1981.162,1979.1221,1948.2883,1945.1333,2098.8882,2027.3022,1991.1425,1981.9936,1741.4317,1683.9627,1819.469,1764.0281,1769.892,1920.1578,1839.1746,1860.466,1997.1078,1921.1262,1866.6222,1894.1091,1946.5668,2006.1685,2098.9913,1930.3239,2016.6779,2169.9324,2222.7837,2259.3902,2322.8477,2100.5311,1349.9906,1397.8727,1480.2771,1610.8085,1663.5947,1604.628,1499.609,1470.9928,1785.2915,1797.7134,1767.1439
99,8872-2,ACCIONES NACIONALES,A,LARVIPI CI,NO,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,882621,0,0,0,2310.2509,2382.9152,2355.5203,2401.0723,2379.6895,2285.43,2281.028,2256.0428,2182.9294,2234.7436,2136.0835,2139.2069,2154.3073,2188.3776,2281.9969,2307.8966,2250.6464,2261.2105,2342.5937,2346.3853,2276.6413,2397.5512,2313.6192,2281.5372,2294.8698,2375.0585,2609.2447,2595.9147,2586.4207,2528.2607,2690.516,2738.2198,2841.4594,2966.1919,2638.3308,2944.7701,3095.8345,2956.493,2904.7201,2990.3571,2811.2642,2712.4526,2769.4938,2683.3198,2705.2277,2591.7038,2598.5274,2582.5839,2712.2075,2623.6421,2571.0894,2510.3977,2366.309,2402.7278,2351.6051,2251.4903,2387.008,2209.185,2053.8244,2126.5279,2073.1828,1852.9475,1536.431,1766.1687,1638.2794,1767.4577,1782.4401,1684.8915,1619.5,1557.5153,1764.4252,1835.8325,1882.4509
25,8740-8,ACTIVA A,A,BACCINA CI,NO,Balanceado Agresivo,FM DE LIBRE INVERSION,6,P,69838,0,0,0,1268.8118,1290.0886,1289.0306,1277.8355,1283.8804,1281.378,1323.6347,1281.3007,1231.0352,1282.6892,1301.8536,1281.1915,1215.7876,1164.7439,1173.3936,1154.6988,1201.5434,1148.82,1169.7734,1174.3631,1141.6192,1134.1509,1142.8945,1137.6565,1131.8557,1154.375,1194.908,1211.6466,1232.3,1212.7611,1234.1669,1205.7348,1237.852,1253.6542,1216.61,1229.6398,1275.0898,1205.4497,1199.2862,1213.7645,1224.9974,1229.2875,1236.3963,1294.8062,1267.114,1235.9892,1219.747,1174.14,1217.2203,1228.2403,1276.2552,1317.5456,1286.2347,1310.8483,1346.2374,1345.3806,1377.8428,1381.5627,1486.8486,1444.2325,1511.4992,1440.11,1335.5691,1439.8247,1458.528,1533.7732,1510.1442,1603.5048,1580.1326,1529.3514,1649.5256,1617.3093,1660.6334
279,8116-7,ACTIVA C,A,RMIX50A CI,NO,Balanceado Moderado,FM DE LIBRE INVERSION,6,P,148764,0,0,0,1101.4274,1115.8103,1117.221,1102.7034,1107.4667,1107.9128,1131.1392,1115.2156,1089.845,1114.2088,1119.6862,1105.9343,1076.0853,1057.3832,1061.1188,1053.502,1080.749,1055.8202,1069.5765,1074.2181,1062.2989,1048.588,1044.1314,1055.0355,1053.5508,1073.6677,1097.8034,1105.8115,1113.9844,1103.0243,1112.2836,1096.8322,1111.4084,1121.3009,1095.5349,1100.007,1123.8459,1090.3781,1085.8802,1094.3395,1100.6398,1103.0118,1107.2869,1134.9336,1121.5125,1101.8145,1094.6023,1072.6196,1095.685,1099.9478,1134.7062,1159.7154,1155.0687,1173.5339,1205.3316,1209.6478,1224.896,1214.217,1265.804,1257.6448,1285.4742,1239.9516,1185.7843,1258.2343,1287.571,1318.842,1304.2454,1352.7113,1333.5968,1313.3529,1375.2743,1358.3359,1383.3383
32,8741-6,ACTIVA D,A,ADACCLA CI,NO,Balanceado Conservador,FM DE LIBRE INVERSION,6,P,218845,0,0,0,1144.2227,1153.785,1153.3668,1139.227,1146.2572,1149.7976,1173.8052,1170.4798,1151.968,1165.8806,1169.9033,1160.6908,1148.5558,1144.9104,1149.408,1146.9222,1163.0819,1151.1553,1161.4679,1171.7171,1167.7595,1157.5198,1145.0743,1162.7728,1165.7319,1180.3001,1198.5572,1204.6466,1209.9388,1203.9114,1209.5256,1201.6567,1204.7843,1206.3471,1189.3042,1195.1583,1212.0326,1193.0489,1191.5393,1196.9824,1202.5875,1205.6297,1209.9925,1226.4956,1219.0163,1207.0594,1205.7375,1196.2697,1210.2795,1213.1917,1232.4239,1247.0575,1249.3371,1269.3411,1297.1577,1306.7629,1320.4,1291.9262,1314.0066,1318.6731,1339.1317,1305.8189,1277.2155,1333.4387,1362.831,1380.0679,1371.0047,1402.5017,1382.1867,1379.8086,1413.2348,1409.0295,1429.3188
51,8886-2,ACTIVA E,A,BACTIEA CI,NO,"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",FM DE LIBRE INVERSION,6,P,783699,0,0,0,1168.5585,1169.539,1169.4502,1171.1882,1172.4196,1178.0426,1185.4426,1189.4581,1184.7272,1184.6938,1182.9313,1180.7512,1187.6159,1192.7212,1196.0844,1201.5353,1207.3287,1213.4992,1217.8301,1226.3145,1232.0544,1228.9442,1222.2405,1235.5256,1240.6135,1246.936,1250.3467,1257.3398,1257.2862,1259.5905,1260.9203,1261.8558,1258.9383,1257.7163,1256.0904,1260.9452,1265.8843,1269.677,1272.438,1273.5784,1276.4584,1280.0375,1282.9752,1284.765,1285.5541,1283.7827,1287.2048,1291.798,1295.0921,1296.1442,1304.0279,1311.3386,1323.0676,1338.0688,1351.0077,1359.9347,1364.3046,1342.4954,1325.655,1343.0255,1345.8274,1336.6173,1327.6502,1364.671,1382.2668,1384.9889,1386.9078,1396.2998,1388.6695,1394.5123,1398.2333,1398.3511,1407.2619
237029,8555-3,ACTIVO AGRESIVO,A,BWDEUTC CI,NO,Balanceado Agresivo,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5,P,495545,0,0,0,499.9075,516.7131,511.3597,505.4209,509.5354,518.5729,542.3841,522.6529,503.9615,536.3791,553.0538,537.5318,494.0026,474.2879,488.3439,484.044,509.867,484.5486,499.9146,517.0451,501.389,486.4377,516.0511,521.428,514.5421,527.3586,541.8428,548.3028,559.8518,553.6819,552.3276,532.5824,546.2548,554.3222,552.7956,547.6784,565.888,539.4352,537.0687,544.4116,540.297,539.8496,547.1601,558.6554,549.4975,532.9022,522.4899,506.6276,523.0244,521.9682,535.3844,545.2427,531.818,538.0549,549.0533,544.1589,559.3263,568.5661,610.7617,596.6069,617.647,,,,,,,,,,,,
